date;view_count;dominant_genre;is_menstruation;weekday;season
2020-05-16;4;Drama;True;Saturday;Spring
2020-05-17;2;Drama;True;Sunday;Spring
2020-05-19;2;Drama;True;Tuesday;Spring
2020-05-20;1;Drama;True;Wednesday;Spring
2020-05-21;1;Drama;True;Thursday;Spring
2020-06-02;1;Drama;False;Tuesday;Summer
2020-06-03;4;Comedy;False;Wednesday;Summer
2020-06-08;1;Drama;False;Monday;Summer
2020-06-09;2;Comedy;False;Tuesday;Summer
2020-06-15;1;Comedy;True;Monday;Summer
2020-07-01;2;Comedy;False;Wednesday;Summer
2020-07-04;3;Drama;False;Saturday;Summer
2020-07-05;2;Comedy;False;Sunday;Summer
2020-07-09;2;Comedy;True;Thursday;Summer
2020-07-10;1;Psychological;True;Friday;Summer
2020-07-16;1;Comedy;False;Thursday;Summer
2020-07-19;2;Comedy;False;Sunday;Summer
2020-07-20;1;Comedy;False;Monday;Summer
2020-07-21;1;Drama;False;Tuesday;Summer
2020-07-22;1;Comedy;False;Wednesday;Summer
2020-07-24;1;Drama;False;Friday;Summer
2020-07-27;1;Drama;False;Monday;Summer
2020-07-31;3;Comedy;False;Friday;Summer
2020-08-01;1;Drama;False;Saturday;Summer
2020-08-02;3;Drama;False;Sunday;Summer
2020-08-03;2;Drama;False;Monday;Summer
2020-08-06;1;Drama;True;Thursday;Summer
2020-08-07;1;Animation;True;Friday;Summer
2020-08-10;1;Crime;True;Monday;Summer
2020-08-11;5;Crime;True;Tuesday;Summer
2020-08-12;4;Crime;False;Wednesday;Summer
2020-08-19;2;Animation;False;Wednesday;Summer
2020-08-27;1;Drama;False;Thursday;Summer
2020-09-25;1;Crime;False;Friday;Fall
2020-10-11;2;Horror;False;Sunday;Fall
2020-10-15;7;Crime;False;Thursday;Fall
2020-10-17;2;Drama;False;Saturday;Fall
2020-10-20;5;Drama;False;Tuesday;Fall
2020-10-21;2;Animation;True;Wednesday;Fall
2020-10-22;2;Animation;True;Thursday;Fall
2020-10-23;1;Animation;True;Friday;Fall
2020-10-24;1;Drama;True;Saturday;Fall
2020-10-26;1;Drama;True;Monday;Fall
2020-10-29;3;Animation;False;Thursday;Fall
2020-10-31;1;Animation;False;Saturday;Fall
2020-11-01;1;Animation;False;Sunday;Fall
2020-11-02;2;Animation;False;Monday;Fall
2020-11-03;8;Drama;False;Tuesday;Fall
2020-11-04;3;Animation;False;Wednesday;Fall
2020-11-05;2;Animation;False;Thursday;Fall
2020-11-06;3;Animation;False;Friday;Fall
2020-11-07;1;Animation;False;Saturday;Fall
2020-11-08;2;Animation;False;Sunday;Fall
2020-11-09;3;Animation;False;Monday;Fall
